recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
133077707,"{'steamid': '76561198239360454', 'num_games_owned': 0, 'num_reviews': 21, 'playtime_forever': 2794, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2592, 'last_played': 1712844204}",koreana,최근 패치 이후로 그래픽이 멋대로 낮은 옵션이 되는 버그에 걸렸어요 그래서 게임에 몰입을 하지 못하고 있습니다 메인스토리는 남겨두고 서브스토리만 조금씩 하고있네요 공식에 문의를 남겼으나 아직 해결되지 않았습니다 다음 패치에 고쳐지겠지 생각은 하고있지만 패치가 언제일지 궁금하네요,1676699069,1676699069,False,0,0,0,0,False,False,False,True,
133077046,"{'steamid': '76561198031763105', 'num_games_owned': 0, 'num_reviews': 12, 'playtime_forever': 1329, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1271, 'last_played': 1678519621}",koreana,최적화만괜찮으면갓겜하지만아직은*겜,1676698043,1676698043,True,0,0,0,0,False,False,False,True,
133076585,"{'steamid': '76561198039195230', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 3517, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2207, 'last_played': 1688924273}",koreana,갓겜,1676697354,1676697354,True,0,0,0,0,True,False,False,True,
133076501,"{'steamid': '76561198112091291', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 3949, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2502, 'last_played': 1678417995}",koreana,지금으로부터*전호그와트에는학*으로편입하는학생이있었다그는잡종태생이었지만특유의둥근성격으로주변학우들과원만한교유관계를가졌고선생님들과학교주변상권지역주민들에게예의바르고선행을베풀던학생이었다또한편입생이라선생님들의특별수업시험을전부완벽하게해냈으며마법동물을사랑하는친구였다하지만그와친한명의여자교우들은말했다그는대중적인모습과내면이극과극인존재였다**신들의어려운부탁을주저없이도와주는,1676697222,1676697222,True,0,0,0,0,True,False,False,True,
133076331,"{'steamid': '76561198344853094', 'num_games_owned': 171, 'num_reviews': 66, 'playtime_forever': 4829, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4829, 'last_played': 1682430377}",koreana,유비식 오픈월드 끝판왕 맵은 엄청큰데 컨텐츠는 없음,1676696979,1688046902,False,1,0,0.523809552192687988,0,True,False,False,True,
133074787,"{'steamid': '76561198037338080', 'num_games_owned': 79, 'num_reviews': 42, 'playtime_forever': 2205, 'playtime_last_two_weeks': 0, 'playtime_at_review': 77, 'last_played': 1678768951}",koreana,해리포터는소설까지도다볼정도로최애작품인데두근두근기숙사배정식에서후플푸프가나와가지고잠깐멍너무낯설어찾아보니허플퍼프가맞다는데한국한정으로는후플푸프래요그래도디고리뉴트기숙사기도하고기숙사이념이맘에들어서다행입미다평범하고재능없는*들이나가는곳은너무한거아니냐고엔딩봤는데제발속편만들어주세요해리포터팬한테는너무재밌습니다,1676694635,1678737790,True,1,0,0.52173912525177002,0,True,False,False,True,
133074458,"{'steamid': '76561198010025868', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 90, 'playtime_last_two_weeks': 0, 'playtime_at_review': 90, 'last_played': 1676577119}",koreana,해리포터 시리즈 팬이면 사세요 다만 저는 게임이 특별히 재미있는것같지는 않아서 환불 햇습니다,1676694121,1676694121,True,0,0,0,0,True,False,False,True,
133073336,"{'steamid': '76561197965780000', 'num_games_owned': 140, 'num_reviews': 24, 'playtime_forever': 4360, 'playtime_last_two_weeks': 0, 'playtime_at_review': 795, 'last_played': 1678540183}",koreana,굿 유비식 오픈월드지만 가 너무 사기에요,1676692426,1676692426,True,0,0,0,0,True,False,False,True,
133072228,"{'steamid': '76561199185219178', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 1374, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1310, 'last_played': 1677227803}",koreana,하지마세요 하다가 튕기면 데이터 날라갑니다 사지마세요,1676690849,1676796899,False,0,0,0,0,True,False,False,True,
133072173,"{'steamid': '76561199341699955', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 800, 'playtime_last_two_weeks': 0, 'playtime_at_review': 765, 'last_played': 1676696543}",koreana,존잼,1676690775,1676690775,True,0,0,0,0,True,False,False,True,
